fips_a,fips_b,lc_type,accuracy,n_a,n_b,imp_st_damcat,imp_bldgtype,imp_clr
6013,6095,shrub,0.7518103004502259,2268,2426,3.4423185815964534,2.8593740357206103,93.69830738268293
6013,6097,shrub,0.7678430120015486,2268,5606,5.053911403663604,6.270129786377526,88.67595880995887
6015,6023,shrub,,0,121,,,
6015,6093,shrub,,0,1022,,,
6017,6061,shrub,0.9335205992509362,100,968,2.1738405902534597,2.4375848079155245,95.388574601831
6017,6067,shrub,0.9902224059799494,100,2866,4.125850423401026,3.247700656154506,92.62644892044449
6019,6027,shrub,0.9780734226531623,1886,303,0.9613149022769697,2.476355577659925,96.5623295200631
6019,6031,shrub,0.9798414925659648,1886,98,3.179208987150832,12.388273544566697,84.43251746828247
6019,6039,shrub,0.9370822125313144,1886,1118,2.439670846058599,16.647108712413555,80.91322044152784
6019,6047,shrub,0.957443621651433,1886,746,1.7726361787303762,8.673411214190988,89.55395260707861
6019,6051,shrub,0.9914285714285714,1886,214,1.283889704105971,1.5318928493904826,97.18421744650355
6019,6053,shrub,0.9132507149666349,1886,1261,5.2003297094823235,4.724961119434959,90.07470917108273
6019,6069,shrub,0.9615912208504801,1886,301,1.6501014268502436,12.345241145605705,86.00465742754406
6019,6107,shrub,0.9467875784429989,1886,1196,3.1757514651734207,4.596569846532975,92.22767868829361
6021,6033,shrub,0.8612331431818679,329,579,2.879254000462153,5.943360826559157,91.17738517297867
6021,6045,shrub,,329,0,,,
6021,6103,shrub,0.9932752339223523,329,1604,3.9748548602861606,2.158675539757467,93.86646959995636
6023,6045,shrub,,121,0,,,
6023,6093,shrub,0.9685039370078741,121,1022,3.790426771060329,7.910329170067885,88.29924405887178
6023,6105,shrub,,121,0,,,
6025,6065,shrub,,18,12233,,,
6025,6073,shrub,,18,7597,,,
6027,6029,shrub,0.9913544668587896,303,4902,4.198213806035793,2.4190800875759573,93.38270610638821
6027,6051,shrub,0.6073733028632881,303,214,6.476975172626393,42.08052507263204,51.44249975474157
6027,6071,shrub,0.9946644532528935,303,8131,1.9570686503236734,5.822299161321829,92.2206321883545
6027,6107,shrub,0.9953293253173013,303,1196,15.054219106659346,2.767357262887631,82.17842363045304
6029,6031,shrub,0.9919997993198479,4902,98,5.274850853408948,7.543816135832372,87.18133301075868
6029,6037,shrub,0.8810762828983978,4902,5096,4.520639056215542,3.665863791106114,91.81349715267837
6029,6071,shrub,0.6438267739285294,4902,8131,14.418014761193138,40.50411470282685,45.07787053598003
6029,6079,shrub,0.92448985544971,4902,4514,2.76746740255752,5.899832709859207,91.33269988758329
6029,6083,shrub,0.913427513745985,4902,1220,2.7333244846042293,20.665448359969982,76.60122715542578
6029,6107,shrub,0.9667099647160434,4902,1196,2.4224958963086176,3.6527696393233433,93.92473446436804
6029,6111,shrub,0.9429325720249881,4902,2335,0.6625344027164879,7.722425820662756,91.61503977662075
6031,6053,shrub,0.9977924944812363,98,1261,4.319451979844006,3.4452568409170574,92.23529117923893
6031,6079,shrub,0.9993493819128171,98,4514,27.15095130871534,14.266993988546188,58.58205470273849
6031,6107,shrub,0.9945933946320643,98,1196,17.093692603965398,2.9425234063058094,79.96378398972881
6033,6045,shrub,,579,0,,,
6033,6055,shrub,0.9481865284974095,579,579,1.1745964298580032,16.117296530545925,82.7081070395961
6033,6097,shrub,0.9933710325219819,579,5606,11.90064730445011,7.370216769510037,80.72913592603987
6033,6113,shrub,0.8851236698303135,579,335,1.4027510973832444,26.85109603816116,71.74615286445562
6035,6049,shrub,0.9695767195767195,825,687,14.00753530251813,9.029257758649923,76.96320693883193
6035,6063,shrub,0.9301038326462056,825,62,26.132587379157837,32.688352110804956,41.17906051003722
6035,6089,shrub,0.9031339031339032,825,930,2.4707698718856372,6.148364548415579,91.38086557969879
6035,6091,shrub,,825,41,,,
6037,6059,shrub,0.9895442611535096,5096,260,2.777973445455431,3.981665508122797,93.24036104642177
6037,6071,shrub,0.8799425417706207,5096,8131,3.5780401425029993,2.0945317506303205,94.32742810686663
6037,6111,shrub,0.9336563046696272,5096,2335,10.224248099355558,2.189916698758057,87.58583520188635
6039,6043,shrub,0.963924963924964,1118,268,6.909370073062734,5.818787603626935,87.27184232331034
6039,6047,shrub,0.6909938504607408,1118,746,47.234153817635104,16.214742955052944,36.55110322731194
6039,6051,shrub,0.9827327327327327,1118,214,7.277237018805852,12.96884977389284,79.75391320730131
6039,6109,shrub,0.9791154369988063,1118,270,1.428980348905859,2.21329214681904,96.35772750427509
6041,6075,shrub,,450,0,,,
6041,6095,shrub,0.9780949333240452,450,2426,5.388071300059565,6.954336354638807,87.65759234530164
6041,6097,shrub,0.9897622732701379,450,5606,7.14434651929907,2.177947206893841,90.67770627380709
6043,6047,shrub,0.9408284023668639,268,746,8.497852088552168,3.1554776699248936,88.34667024152293
6043,6099,shrub,0.9971509971509972,268,436,1.97279199281269,3.7115285776480333,94.3156794295393
6043,6109,shrub,0.9107800537968135,268,270,5.337979594571284,2.269489425995435,92.3925309794333
6045,6097,shrub,,0,5606,,,
6045,6103,shrub,,0,1604,,,
6045,6105,shrub,,0,0,,,
6047,6069,shrub,0.8901623686723973,746,301,13.637574130355421,3.1338616761467315,83.22856419349787
6047,6085,shrub,0.9449533567180626,746,1143,5.559147410937378,3.559301333965866,90.88155125509674
6047,6099,shrub,0.9619289340101522,746,436,18.99990494751491,4.059140586421059,76.94095446606406
6049,6089,shrub,0.9969078540507113,687,930,6.119381693092686,2.631936381608938,91.24868192529836
6049,6093,shrub,0.9245182375975087,687,1022,3.4668386593669664,7.958961937573811,88.57419940305925
6051,6109,shrub,0.9938143802878102,214,270,2.887955315460454,3.4542996618701216,93.65774502266939
6053,6069,shrub,0.9334243811211183,1261,301,3.1631854693476007,11.151045034829387,85.685769495823
6053,6079,shrub,0.8445021645021645,1261,4514,4.173651721485484,3.3131490951009206,92.51319918341362
6053,6087,shrub,,1261,2,,,
6055,6095,shrub,0.9880209610748533,579,2426,2.4288453107597308,1.099479991376396,96.47167469786388
6055,6097,shrub,0.9991914879398519,579,5606,9.758338644364219,3.8656771997389967,86.37598415589676
6055,6113,shrub,0.6925654299683636,579,335,2.3611892128760275,6.193600156979981,91.44521063014399
6057,6061,shrub,,1,968,,,
6057,6091,shrub,,1,41,,,
6057,6115,shrub,,1,779,,,
6059,6065,shrub,0.97918835161346,260,12233,2.6591499354930423,89.9965613688307,7.344288695676269
6059,6071,shrub,0.9691335955190085,260,8131,2.914556366002696,67.56710479803498,29.518338835962336
6059,6073,shrub,0.9928725976835943,260,7597,9.600807560623224,1.2406000331754252,89.15859240620136
6061,6067,shrub,0.9546165884194053,968,2866,0.8524367966911892,8.84675288425373,90.30081031905507
6061,6101,shrub,0.9415858998719578,968,179,4.550805649048651,4.6190812108351675,90.83011314011618
6061,6115,shrub,0.8786493607540097,968,779,2.8180259347996124,9.981524599148742,87.20044946605164
6063,6089,shrub,0.980850804113644,62,930,1.9604970492233063,3.9302927302645054,94.1092102205122
6063,6091,shrub,,62,41,,,
6063,6103,shrub,0.9975975975975976,62,1604,8.762671992298714,2.289080999838757,88.94824700786253
6063,6115,shrub,0.9274656837824097,62,779,14.583513546667037,31.959880157676857,53.4566062956561
6065,6071,shrub,0.619180907483795,12233,8131,11.5993382599214,49.96166719046285,38.43899454961574
6065,6073,shrub,0.8830559757942512,12233,7597,7.91562054557115,7.5653185417322755,84.51906091269653
6067,6077,shrub,0.9549909895719062,2866,711,1.5266561694079477,4.754132580001388,93.71921125059065
6067,6095,shrub,0.8826530612244898,2866,2426,4.2855013703085385,6.431034924853166,89.28346370483827
6067,6101,shrub,0.9750410509031199,2866,179,2.0517447108473252,6.534506242741842,91.41374904641084
6067,6113,shrub,0.9590752889721962,2866,335,1.0957932196449758,9.289899873795722,89.6143069065593
6069,6085,shrub,0.9321376914737911,301,1143,4.186403875543128,5.425746201386262,90.38784992307062
6069,6087,shrub,,301,2,,,
6075,6081,shrub,,0,28,,,
6077,6099,shrub,0.6739277040358336,711,436,8.612742755182408,8.4414999640131,82.94575728080449
6079,6083,shrub,0.8306586984112387,4514,1220,1.475269452784132,13.546929881655634,84.97780066556024
6081,6085,shrub,,28,1143,,,
6081,6087,shrub,,28,2,,,
