fips,lc_type,n_county,n_pool,num_neighbors,kl_div,l1_distance,top_color,top_contrib
6053,urban+shrub,1326,8970,5,0.6421103498158748,0.22797737950756056,terracotta,0.14972548139412767
6055,crop,159,1608,4,0.9129575987363907,0.2345587827127446,gray,0.6465684220809219
6055,forest,4853,40278,4,1.6781680232865994,0.3958228056014407,cocoa,0.8090748613972435
6055,grass,61,650,4,1.2164219903497586,0.28166108762038994,gray,0.37206778553713454
6055,shrub,945,14879,4,2.1707551818602444,0.43182026337528145,cocoa,0.7846172609125306
6055,urban+crop,2,37292,4,-0.07710368755065262,0.06733525314760247,cocoa,-0.07710368755065262
6055,urban+forest,7041,70827,4,1.869568208411404,0.44083357882989066,cocoa,0.6793134895003401
6055,urban+grass,25169,196040,4,1.774577613876562,0.4582007932164981,cocoa,0.4415509768096454
6055,urban+shrub,430,7006,4,1.5549935627735785,0.4288446977969976,cocoa,0.332806405954646
6057,forest,24267,54032,3,0.7044656665542108,0.32830012235466854,coffee,0.3245395438382855
6057,shrub,2,3166,3,-0.0767921938039354,0.06690074906367041,coffee,-0.0767921938039354
6057,urban+forest,7642,34229,3,1.1338909357584597,0.4107014819590763,coffee,0.5579230905770939
6059,barren,98,19292,4,-0.10100895809243202,0.14724749703295698,purple,0.05743567253510904
6059,forest,4599,81507,4,0.32274145244336194,0.14145173054464794,green,0.18732034942519585
6059,grass,152,9346,4,0.07465811307107313,0.11433907659173509,green,0.08014717927278056
6059,shrub,618,54933,4,0.3852342761613142,0.19598522513644667,purple,0.16949644133528766
6059,urban,693749,3816225,4,0.7328809078788726,0.2726158461184417,orange,0.22411093717117728
6059,urban+barren,5282,246857,4,0.05335298444558862,0.07298778460052803,cocoa,0.0310160825371939
6059,urban+crop,206,6149,4,-0.0686297583564951,0.07155935104542313,red,0.01415009802781312
6059,urban+forest,51861,337561,4,0.7727093769242617,0.25040120469657906,green,0.23672920342370699
6059,urban+grass,19190,288904,4,0.3762561016351649,0.17756587004387595,red,0.09172152449865671
6059,urban+other,176,383,4,0.4071837657498678,0.1953293227073945,orange,0.11066817127625488
6059,urban+shrub,8987,223890,4,0.4645480332262562,0.2008858555742739,orange,0.1175006966372334
6061,crop,111,2866,5,1.4034083704087588,0.29270781333777063,brown,0.7773558706709388
6061,forest,27230,94148,5,0.6121165459960187,0.25983301424410343,sage,0.36902114021637156
6061,grass,53,131,5,0.23493409457167763,0.1327134404057481,brown,0.11564468728467912
6061,shrub,1865,7556,5,1.083789040000597,0.32722728525202643,brown,0.5721583281581064
6061,urban,46413,334106,5,1.4998436504283803,0.42747698414231255,brown,0.6670841357701965
6061,urban+barren,335,774,5,0.5278878918915383,0.26089719885365625,brown,0.23775629742368987
6061,urban+crop,241,77080,5,2.821624622735341,0.3399162489992295,brown,1.531408230205299
6061,urban+forest,25715,112838,5,0.9034755450922718,0.2784142948595744,brown,0.39895334917335806
6061,urban+grass,24095,42653,5,0.384788925082259,0.1814533648731841,brown,0.15858080211381326
6061,urban+shrub,2886,9832,5,0.8079529334379699,0.3062990559905308,brown,0.3573731166502266
6063,forest,4765,41976,6,1.1199283597932395,0.3255008237590038,coffee,0.7937437956960088
6063,shrub,92,7718,6,0.6493323666986096,0.220834490419328,coffee,0.44861751656119514
6063,urban+forest,3227,66331,6,1.6082734080803989,0.4345799138636401,coffee,0.9402904681282407
6063,urban+grass,23,20196,6,0.5037525940828959,0.18945064061950584,coffee,0.24748937109834726
6063,urban+shrub,10,3176,6,0.055041552544859686,0.04905621240406555,beige,0.09634266927275714
6065,barren,6844,21071,4,0.10635938300562142,0.14575356149848911,alabaster,0.06754980808232092
6065,crop,1750,4178,4,0.5372861695985304,0.19800541454945259,alabaster,0.2213186498469169
6065,forest,8792,67942,4,0.23736146140497213,0.1279567269968484,green,0.16368995440513148
6065,grass,2496,7237,4,0.01577168560936229,0.0533188227731715,red,0.03625443483113822
6065,shrub,20591,45528,4,0.19182223592972314,0.12654910495883698,orange,0.08034181157505031
6065,urban,275553,1927835,4,0.28275187899322646,0.17240661649105407,amber,0.078291139194069
6065,urban+barren,149319,240887,4,0.023496311606462733,0.021291352303317485,orange,0.011180925577670522
6065,urban+crop,4808,33029,4,1.0141560478138885,0.29844163803998236,orange,0.2900861425150417
6065,urban+forest,23639,216866,4,0.502357918300908,0.20256274020968348,orange,0.12852322469241834
6065,urban+grass,112771,181421,4,0.05310281262530821,0.0498090312523063,amber,0.02149374690956372
6065,urban+shrub,77685,169663,4,0.2749625706910856,0.16593881582574502,orange,0.08857419248182871
6067,crop,1643,7771,8,0.7995630538455516,0.23487934611362643,cocoa,0.4343856177586445
6067,forest,5250,99867,8,2.1719389475731736,0.4066434917256113,cocoa,1.2207882859218362
6067,grass,78,788,8,0.8201591083073178,0.31384111213158555,cocoa,0.3976929492195224
6067,shrub,3973,18474,8,1.1574859259471073,0.353259043518397,cocoa,0.6246813933913584
6067,urban,287693,515953,8,0.4468497656036407,0.17707004383499886,cocoa,0.12695988594318056
6067,urban+barren,439,1228,8,0.7137195422503864,0.2398581179766908,cocoa,0.263908509832638
6067,urban+crop,41359,192957,8,0.941022473194388,0.2875835480782754,orange,0.24867360884308523
6067,urban+forest,55212,182328,8,0.975180078620838,0.31572381283067424,cocoa,0.4520103688705573
6067,urban+grass,16785,254049,8,1.859812833209706,0.39207892571433783,cocoa,0.6869731589669638
6067,urban+shrub,5745,19684,8,0.8068784799081467,0.26146636851579863,cocoa,0.30616673726096555
6069,crop,336,8393,5,0.7949511739528315,0.23729811740095916,coffee,0.2723610960897055
6069,forest,330,47822,5,1.8096425732639165,0.3825293201184614,coffee,1.2471130763073248
6069,grass,35,649,5,0.4982965543929018,0.1364180175868876,azure,0.12284245759309359
6069,shrub,534,8228,5,1.219883599938075,0.3308349646965664,coffee,0.6274439132781504
6069,urban+crop,819,125339,5,1.6825305525419545,0.2976536976846559,lilac,0.6367403912837765
6069,urban+forest,298,135374,5,1.7509389893343927,0.3424364602279041,coffee,1.050563687073734
6069,urban+grass,9682,63516,5,1.2079777661423938,0.32329725662801123,coffee,0.49297930427684855
6069,urban+shrub,412,8896,5,1.3821480895389655,0.29712111036489813,coffee,0.6353476759616267
6071,barren,11598,20022,5,0.030255888560313405,0.07288641123724052,cocoa,0.06340436880419847
6071,crop,24,3597,5,-0.25935110219553686,0.1940520033722323,grey,-0.021591768324895684
6071,forest,32905,64037,5,0.13710749102130518,0.07152770396670806,orange,0.04690167438961997
6071,grass,4527,10928,5,0.1695076759929542,0.08752227086849546,alabaster,0.08615101820230901
6071,shrub,11926,50275,5,0.13586840028421893,0.10186327122803027,cocoa,0.05798645634674043
6071,urban,343135,3339528,5,0.5913703775640907,0.24627541006747317,orange,0.11320200023230569
6071,urban+barren,77048,256469,5,0.03312487904262602,0.035881031738153484,alabaster,0.017810643382055454
6071,urban+crop,944,27197,5,-0.00044868798734654623,0.06963393216692464,green,0.025950202604308838
6071,urban+forest,18669,227868,5,0.48655445568127714,0.19294229067423266,green,0.12850742822787414
6071,urban+grass,36401,311451,5,0.30569704246123436,0.15461497690364448,red,0.09539401401516324
6071,urban+shrub,29498,175446,5,0.2792319729117482,0.1298278898906878,green,0.07624732930701408
6073,barren,708,9473,3,1.1224927844611319,0.2582940509408747,ivory,0.3918413759138355
