h3,total_exposure,exposure_bin
89283082cb7ffff,308,High (50+)
892830952afffff,307,High (50+)
8929ac915a3ffff,307,High (50+)
89283470a33ffff,307,High (50+)
8929a518913ffff,307,High (50+)
8929a030233ffff,307,High (50+)
89283082c47ffff,307,High (50+)
8929a4110afffff,307,High (50+)
89283082867ffff,307,High (50+)
8928308291bffff,306,High (50+)
89283095a8bffff,306,High (50+)
8929a560c43ffff,306,High (50+)
8929a0aea53ffff,306,High (50+)
8928309534bffff,306,High (50+)
89283087613ffff,306,High (50+)
89283082e2fffff,305,High (50+)
8929a4005c7ffff,305,High (50+)
89283082973ffff,305,High (50+)
8929a199ddbffff,305,High (50+)
892830951d7ffff,305,High (50+)
8929a40c4d7ffff,305,High (50+)
89283082c33ffff,305,High (50+)
89283082dd3ffff,305,High (50+)
8929a184227ffff,305,High (50+)
892830958c7ffff,304,High (50+)
89283095bcbffff,304,High (50+)
89291279303ffff,304,High (50+)
8929a0ad803ffff,304,High (50+)
89283470aabffff,304,High (50+)
8929a198c03ffff,304,High (50+)
8928309518fffff,303,High (50+)
8929a4014afffff,303,High (50+)
8929a1d0e73ffff,303,High (50+)
8929a1c2393ffff,303,High (50+)
8929a403467ffff,303,High (50+)
8928309519bffff,303,High (50+)
8929a579057ffff,303,High (50+)
8929a54c68bffff,303,High (50+)
8929a565537ffff,302,High (50+)
89283095d4fffff,302,High (50+)
8929a19a24bffff,302,High (50+)
8928308288bffff,302,High (50+)
8929a084807ffff,302,High (50+)
8929a4c523bffff,301,High (50+)
8929a40e24fffff,301,High (50+)
89283082d47ffff,301,High (50+)
892830825b7ffff,301,High (50+)
8929a565cd7ffff,301,High (50+)
8929a199c17ffff,301,High (50+)
89283095b53ffff,301,High (50+)
8929a19ae6fffff,301,High (50+)
8929a41ab93ffff,301,High (50+)
8929a4005bbffff,300,High (50+)
8929a0b463bffff,300,High (50+)
8929a199d7bffff,300,High (50+)
892830951cbffff,300,High (50+)
8928309588bffff,300,High (50+)
8929a578967ffff,300,High (50+)
8929a401dd3ffff,300,High (50+)
8929a418d83ffff,300,High (50+)
89283446a23ffff,300,High (50+)
892834702afffff,300,High (50+)
89283082b87ffff,299,High (50+)
8929a19b283ffff,299,High (50+)
89283082ad7ffff,299,High (50+)
892830952abffff,299,High (50+)
89283082ba7ffff,299,High (50+)
8929a4098d7ffff,299,High (50+)
89283082c23ffff,299,High (50+)
8929a4721c7ffff,299,High (50+)
8929127b693ffff,299,High (50+)
89283095a27ffff,299,High (50+)
89283095b4bffff,299,High (50+)
8928341a62bffff,299,High (50+)
8929a1c6423ffff,298,High (50+)
892830958bbffff,298,High (50+)
8929a565527ffff,298,High (50+)
8928347a19bffff,298,High (50+)
8929a569207ffff,298,High (50+)
8929a0a312fffff,298,High (50+)
892830951c7ffff,298,High (50+)
8929a18c057ffff,298,High (50+)
89283095a7bffff,297,High (50+)
8929a188acbffff,297,High (50+)
8929a0a61d3ffff,297,High (50+)
89283460977ffff,297,High (50+)
8929a401c0fffff,296,High (50+)
892830958a7ffff,296,High (50+)
8929a1d69bbffff,296,High (50+)
89283095bb7ffff,296,High (50+)
8929a54b157ffff,296,High (50+)
8929a19a3d7ffff,296,High (50+)
8929a1c256fffff,296,High (50+)
8929a578bafffff,296,High (50+)
8929a18f037ffff,296,High (50+)
89283095b5bffff,296,High (50+)
8929a41abafffff,296,High (50+)
8929a54f3c3ffff,296,High (50+)
8929a1d0e53ffff,296,High (50+)
8929a41ab7bffff,296,High (50+)
8929a1c2497ffff,296,High (50+)
89283095007ffff,295,High (50+)
89283082a07ffff,295,High (50+)
89283095013ffff,295,High (50+)
8929a40364fffff,295,High (50+)
8929a0b00cfffff,295,High (50+)
892830951c3ffff,295,High (50+)
89283082cbbffff,294,High (50+)
892834448dbffff,294,High (50+)
89283095543ffff,294,High (50+)
8929a4c730bffff,294,High (50+)
89283082aafffff,294,High (50+)
8929a0a6687ffff,294,High (50+)
8929a41ab03ffff,294,High (50+)
89283477157ffff,294,High (50+)
8929a1c65cbffff,294,High (50+)
8928341a283ffff,294,High (50+)
