fips,lc_type,bldgtype,freq
6085,crop,M,0.0013777078642443683
6085,urban+crop,W,0.0008842005695896693
6085,urban+crop,M,0.0007711051478979673
6085,urban+barren,M,0.0004215374808508888
6085,forest,C,0.00039069327493497014
6085,urban+barren,W,0.00038041187296299723
6085,urban+forest,H,0.00035984906901905146
6085,forest,S,0.00028787925521524114
6085,forest,H,0.00017478383352353928
6085,urban+shrub,C,0.00016450243155156636
6085,crop,C,0.00012337682366367477
6085,grass,M,0.00012337682366367477
6085,grass,W,0.00011309542169170188
6085,urban+crop,H,8.225121577578318e-05
6085,urban+shrub,H,8.225121577578318e-05
6085,urban+crop,C,7.196981380381028e-05
6085,shrub,S,5.140700985986449e-05
6085,crop,S,4.112560788789159e-05
6085,urban+shrub,S,4.112560788789159e-05
6085,shrub,C,3.0844205915918693e-05
6085,urban+barren,S,1.0281401971972898e-05
6083,urban+forest,W,0.17362659301899977
6083,urban+forest,M,0.16690513426280237
6083,urban+grass,W,0.10065550860147074
6083,urban+grass,M,0.09682893554719994
6083,urban+crop,W,0.07260506438625096
6083,forest,W,0.0709080624230526
6083,forest,M,0.06897813862176821
6083,urban+crop,M,0.06681529298239776
6083,urban+forest,C,0.029880544371610154
6083,shrub,M,0.018800119788373874
6083,shrub,W,0.018766845240075866
6083,urban+crop,C,0.014141683026652913
6083,urban+forest,S,0.013808937543672845
6083,urban+forest,H,0.010980600938342262
6083,urban+grass,H,0.010647855455362194
6083,urban+grass,C,0.00931687352344192
6083,urban+shrub,M,0.0077196952051375905
6083,urban+shrub,W,0.007586597011945563
6083,urban+crop,H,0.007187302432369481
6083,urban+crop,S,0.005457025920873124
6083,crop,W,0.004957907696403021
6083,urban+grass,S,0.004924633148105015
6083,crop,M,0.004392240375336905
6083,forest,H,0.0028948857019265965
6083,forest,S,0.0025621402189465277
6083,shrub,S,0.001597178318304329
6083,grass,M,0.0013975310285162879
6083,grass,W,0.0012644328353242605
6083,forest,C,0.0010980600938342263
6083,shrub,H,0.0009649619006421988
6083,urban+shrub,H,0.0007320400625561508
6083,shrub,C,0.000465843676172096
6083,urban+shrub,S,0.00033274548298006855
6083,crop,S,0.00026619638638405486
6083,crop,C,0.00019964728978804112
6083,urban+shrub,C,0.00013309819319202743
6083,crop,H,6.654909659601372e-05
6083,grass,H,6.654909659601372e-05
6083,grass,S,6.654909659601372e-05
6081,urban+forest,W,0.27925422048415083
6081,urban+forest,M,0.269009391093608
6081,urban,W,0.0898350362149211
6081,forest,W,0.08843050315331442
6081,urban,M,0.08749414777890997
6081,forest,M,0.08278483104293465
6081,urban+forest,C,0.04084161824240588
6081,urban+forest,S,0.01660653796370246
6081,urban,C,0.01275095701027237
6081,urban+shrub,W,0.006884965988268018
6081,urban+shrub,M,0.006747266668502658
6081,urban,S,0.005370273470849054
