fips,lc_type,clr,count,exposure
6013,urban,red,4072,103657
6013,urban,sage,10129,103657
6013,urban,sienna,245,103657
6013,urban,terracotta,12153,103657
6013,urban+barren,alabaster,25,182
6013,urban+barren,amber,2,182
6013,urban+barren,blue,9,182
6013,urban+barren,brown,58,182
6013,urban+barren,lavender,25,182
6013,urban+barren,red,19,182
6013,urban+barren,sage,24,182
6013,urban+barren,terracotta,20,182
6013,urban+crop,alabaster,1062,10754
6013,urban+crop,amber,633,10754
6013,urban+crop,blue,1068,10754
6013,urban+crop,brown,3254,10754
6013,urban+crop,grey,6,10754
6013,urban+crop,lavender,1741,10754
6013,urban+crop,olive,17,10754
6013,urban+crop,red,633,10754
6013,urban+crop,sage,1498,10754
6013,urban+crop,sienna,3,10754
6013,urban+crop,terracotta,839,10754
6013,urban+forest,alabaster,2040,51633
6013,urban+forest,amber,996,51633
6013,urban+forest,blue,4126,51633
6013,urban+forest,brown,21306,51633
6013,urban+forest,grey,18,51633
6013,urban+forest,lavender,7232,51633
6013,urban+forest,olive,480,51633
6013,urban+forest,sage,11776,51633
6013,urban+forest,sienna,54,51633
6013,urban+forest,terracotta,3605,51633
6013,urban+grass,alabaster,7272,92138
6013,urban+grass,amber,3691,92138
6013,urban+grass,blue,11116,92138
6013,urban+grass,brown,29522,92138
6013,urban+grass,grey,62,92138
6013,urban+grass,lavender,16670,92138
6013,urban+grass,olive,96,92138
6013,urban+grass,red,3691,92138
6013,urban+grass,sage,9961,92138
6013,urban+grass,sienna,96,92138
6013,urban+grass,terracotta,9961,92138
6013,urban+other,brown,4,5
6013,urban+other,lavender,1,5
6013,urban+shrub,alabaster,726,5612
6013,urban+shrub,amber,385,5612
6013,urban+shrub,blue,500,5612
6013,urban+shrub,brown,1653,5612
6013,urban+shrub,grey,5,5612
6013,urban+shrub,lavender,730,5612
6013,urban+shrub,olive,2,5612
6013,urban+shrub,red,385,5612
6013,urban+shrub,sage,497,5612
6013,urban+shrub,sienna,5,5612
6013,urban+shrub,terracotta,724,5612
6015,forest,alabaster,426,3765
6015,forest,bar,3,3765
6015,forest,beige,49,3765
6015,forest,coffee,1612,3765
6015,forest,lilac,105,3765
6015,forest,red,223,3765
6015,forest,terracotta,62,3765
6015,forest,verde,1285,3765
6015,urban+forest,alabaster,251,3056
6015,urban+forest,bar,16,3056
6015,urban+forest,beige,139,3056
6015,urban+forest,blue,13,3056
